Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2015-11-11,ANA,Edmonton Oilers,L,3,4,LAC,Dallas Mavericks,L,108,118
2015-11-19,ANA,Florida Panthers,W,3,1,LAC,Golden State Warriors,L,117,124
2015-11-24,ANA,Calgary Flames,W,5,3,LAC,Denver Nuggets,W,111,94
2015-11-25,ANA,Arizona Coyotes,L,2,4,LAC,Utah Jazz,L,91,102
2015-11-27,ANA,Chicago Blackhawks,L,2,3,LAC,New Orleans Pelicans,W,111,90
2015-11-30,ANA,Vancouver Canucks,W,4,0,LAC,Portland Trail Blazers,W,102,87
2015-12-02,ANA,Tampa Bay Lightning,L,1,2,LAC,Indiana Pacers,L,91,103
2015-12-19,ANA,New Jersey Devils,W,2,1,LAC,Houston Rockets,L,97,107
2015-12-21,ANA,New York Islanders,L,2,5,LAC,Oklahoma City Thunder,L,99,100
2015-12-31,ANA,Edmonton Oilers,W,1,0,LAC,New Orleans Pelicans,W,95,89
2016-01-06,ANA,Toronto Maple Leafs,L,0,4,LAC,Portland Trail Blazers,W,109,98
2016-01-10,ANA,Detroit Red Wings,L,1,2,LAC,New Orleans Pelicans,W,114,111
2016-01-13,ANA,Ottawa Senators,W,4,1,LAC,Miami Heat,W,104,90
2016-01-26,ANA,Boston Bruins,W,6,2,LAC,Indiana Pacers,W,91,89
2016-02-05,ANA,Arizona Coyotes,W,5,2,LAC,Orlando Magic,W,107,93
2016-02-08,ANA,Pittsburgh Penguins,L,2,6,LAC,Philadelphia 76ers,W,98,92
2016-02-18,ANA,Vancouver Canucks,W,5,2,LAC,San Antonio Spurs,W,105,86
2016-02-24,ANA,Buffalo Sabres,W,1,0,LAC,Denver Nuggets,L,81,87
2016-02-26,ANA,Edmonton Oilers,W,2,1,LAC,Sacramento Kings,W,117,107
2016-03-02,ANA,Montreal Canadiens,W,3,2,LAC,Oklahoma City Thunder,W,103,98
2016-03-05,ANA,Los Angeles Kings,W,3,2,LAC,Atlanta Hawks,L,97,107
2016-03-07,ANA,Washington Capitals,L,1,2,LAC,Dallas Mavericks,W,109,90
2016-03-09,ANA,Colorado Avalanche,L,0,3,LAC,Oklahoma City Thunder,L,108,120
2016-03-11,ANA,St. Louis Blues,L,2,5,LAC,New York Knicks,W,101,94
2016-03-16,ANA,New York Rangers,L,1,2,LAC,Houston Rockets,W,122,106
2016-03-20,ANA,Winnipeg Jets,W,3,2,LAC,New Orleans Pelicans,L,105,109
2016-03-24,ANA,Toronto Maple Leafs,L,5,6,LAC,Portland Trail Blazers,W,96,94
2016-03-28,ANA,Edmonton Oilers,W,2,1,LAC,Boston Celtics,W,114,90
2016-03-30,ANA,Calgary Flames,W,8,3,LAC,Minnesota Timberwolves,W,99,79
2016-04-03,ANA,Dallas Stars,W,3,1,LAC,Washington Wizards,W,114,109
2016-04-05,ANA,Winnipeg Jets,L,1,2,LAC,Los Angeles Lakers,W,103,81
2016-04-10,ANA,Washington Capitals,W,2,0,LAC,Dallas Mavericks,W,98,91
2016-11-02,ANA,Pittsburgh Penguins,L,1,5,LAC,Oklahoma City Thunder,L,83,85
2016-11-04,ANA,Arizona Coyotes,W,5,1,LAC,Memphis Grizzlies,W,99,88
2016-11-09,ANA,Columbus Blue Jackets,L,2,3,LAC,Portland Trail Blazers,W,111,80
2016-11-12,ANA,Nashville Predators,L,0,5,LAC,Minnesota Timberwolves,W,119,105
2016-11-25,ANA,Chicago Blackhawks,L,2,3,LAC,Detroit Pistons,L,97,108
2016-11-29,ANA,Montreal Canadiens,W,2,1,LAC,Brooklyn Nets,L,122,127
2016-12-01,ANA,Vancouver Canucks,W,3,1,LAC,Cleveland Cavaliers,W,113,94
2016-12-04,ANA,Calgary Flames,L,3,8,LAC,Indiana Pacers,L,102,111
2016-12-07,ANA,Carolina Hurricanes,W,6,5,LAC,Golden State Warriors,L,98,115
2016-12-20,ANA,Montreal Canadiens,L,1,5,LAC,Denver Nuggets,W,119,102
2016-12-22,ANA,Ottawa Senators,L,1,2,LAC,San Antonio Spurs,W,106,101
2016-12-30,ANA,Vancouver Canucks,L,2,3,LAC,Houston Rockets,L,116,140
2017-01-04,ANA,Detroit Red Wings,W,2,0,LAC,Memphis Grizzlies,W,115,106
2017-01-06,ANA,Arizona Coyotes,W,3,2,LAC,Sacramento Kings,W,106,98
2017-01-08,ANA,Minnesota Wild,L,1,2,LAC,Miami Heat,W,98,86
2017-01-14,ANA,Arizona Coyotes,W,3,0,LAC,Los Angeles Lakers,W,113,97
2017-01-19,ANA,Colorado Avalanche,W,2,1,LAC,Minnesota Timberwolves,L,101,104
2017-01-21,ANA,Minnesota Wild,L,3,5,LAC,Denver Nuggets,L,98,123
2017-01-23,ANA,Winnipeg Jets,W,3,2,LAC,Atlanta Hawks,W,115,105
2017-02-11,ANA,Washington Capitals,L,4,6,LAC,Charlotte Hornets,W,107,102
2017-03-03,ANA,Toronto Maple Leafs,W,5,2,LAC,Milwaukee Bucks,L,101,112
2017-03-09,ANA,Chicago Blackhawks,W,1,0,LAC,Memphis Grizzlies,W,114,98
2017-03-15,ANA,St. Louis Blues,W,2,1,LAC,Milwaukee Bucks,L,96,97
2017-03-18,ANA,San Jose Sharks,W,2,1,LAC,Cleveland Cavaliers,W,108,78
2017-03-26,ANA,New York Rangers,W,6,3,LAC,Sacramento Kings,L,97,98
2017-03-30,ANA,Winnipeg Jets,L,3,4,LAC,Phoenix Suns,W,124,118
2017-04-01,ANA,Edmonton Oilers,L,2,3,LAC,Los Angeles Lakers,W,115,104
2017-10-24,ANA,Philadelphia Flyers,W,6,2,LAC,Utah Jazz,W,102,84
2017-10-26,ANA,Florida Panthers,L,3,8,LAC,Portland Trail Blazers,W,104,103
2017-10-28,ANA,Tampa Bay Lightning,W,4,1,LAC,Detroit Pistons,L,87,95
2017-11-01,ANA,Toronto Maple Leafs,L,1,3,LAC,Dallas Mavericks,W,119,98
2017-11-04,ANA,San Jose Sharks,L,1,2,LAC,Memphis Grizzlies,L,104,113
2017-11-07,ANA,Los Angeles Kings,L,3,4,LAC,San Antonio Spurs,L,107,120
2017-11-20,ANA,San Jose Sharks,W,3,2,LAC,New York Knicks,L,85,107
2017-11-22,ANA,Vegas Golden Knights,L,2,4,LAC,Atlanta Hawks,W,116,103
2017-11-25,ANA,Los Angeles Kings,L,1,2,LAC,Sacramento Kings,W,97,95
2017-11-27,ANA,Chicago Blackhawks,L,3,7,LAC,Los Angeles Lakers,W,120,115
2017-12-02,ANA,Nashville Predators,L,2,3,LAC,Dallas Mavericks,L,82,108
2017-12-06,ANA,Ottawa Senators,W,3,0,LAC,Minnesota Timberwolves,L,107,113
2017-12-11,ANA,Carolina Hurricanes,W,3,2,LAC,Toronto Raptors,W,96,91
