Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2017-04-02,BOS,Chicago Blackhawks,W,3,2,BOS,New York Knicks,W,110,94
2017-04-06,BOS,Ottawa Senators,L,1,2,BOS,Atlanta Hawks,L,116,123
2017-04-08,BOS,Washington Capitals,L,1,3,BOS,Charlotte Hornets,W,121,114
2017-10-26,BOS,San Jose Sharks,W,2,1,BOS,Milwaukee Bucks,W,96,89
2017-10-28,BOS,Los Angeles Kings,L,1,2,BOS,Miami Heat,W,96,90
2017-10-30,BOS,Columbus Blue Jackets,L,3,4,BOS,San Antonio Spurs,W,108,94
2017-11-06,BOS,Minnesota Wild,W,5,3,BOS,Atlanta Hawks,W,110,107
2017-11-08,BOS,New York Rangers,L,2,4,BOS,Los Angeles Lakers,W,107,96
2017-11-10,BOS,Toronto Maple Leafs,L,2,3,BOS,Charlotte Hornets,W,90,87
2017-11-16,BOS,Los Angeles Kings,W,2,1,BOS,Golden State Warriors,W,92,88
2017-11-18,BOS,San Jose Sharks,W,3,1,BOS,Atlanta Hawks,W,110,99
2017-11-22,BOS,New Jersey Devils,W,3,2,BOS,Miami Heat,L,98,104
2017-11-24,BOS,Pittsburgh Penguins,W,4,3,BOS,Orlando Magic,W,118,103
2017-12-02,BOS,Philadelphia Flyers,W,3,0,BOS,Phoenix Suns,W,116,111
2017-12-04,BOS,Nashville Predators,L,3,5,BOS,Milwaukee Bucks,W,111,100
2017-12-13,BOS,Detroit Red Wings,W,3,2,BOS,Denver Nuggets,W,124,118
2017-12-16,BOS,New York Rangers,L,2,3,BOS,Memphis Grizzlies,W,102,93
2017-12-18,BOS,Columbus Blue Jackets,W,7,2,BOS,Indiana Pacers,W,112,111
2017-12-21,BOS,Winnipeg Jets,W,2,1,BOS,New York Knicks,L,93,102
2017-12-23,BOS,Detroit Red Wings,W,3,1,BOS,Chicago Bulls,W,117,92
2017-12-27,BOS,Ottawa Senators,W,5,1,BOS,Charlotte Hornets,W,102,91
2017-12-28,BOS,Washington Capitals,L,3,4,BOS,Houston Rockets,W,99,98
2018-01-06,BOS,Carolina Hurricanes,W,7,1,BOS,Brooklyn Nets,W,87,85
2018-01-18,BOS,New York Islanders,W,5,2,BOS,Philadelphia 76ers,L,80,89
2018-01-23,BOS,New Jersey Devils,W,3,2,BOS,Los Angeles Lakers,L,107,108
2018-02-06,BOS,Detroit Red Wings,W,3,2,BOS,Toronto Raptors,L,91,111
2018-02-11,BOS,New Jersey Devils,W,5,3,BOS,Cleveland Cavaliers,L,99,121
2018-02-24,BOS,Toronto Maple Leafs,L,3,4,BOS,New York Knicks,W,121,112
2018-03-03,BOS,Montreal Canadiens,W,2,1,BOS,Houston Rockets,L,120,123
2018-03-08,BOS,Philadelphia Flyers,W,3,2,BOS,Minnesota Timberwolves,W,117,109
2018-03-11,BOS,Chicago Blackhawks,L,1,3,BOS,Indiana Pacers,L,97,99
2018-03-23,BOS,Dallas Stars,W,3,2,BOS,Portland Trail Blazers,W,105,100
2018-03-25,BOS,Minnesota Wild,W,2,1,BOS,Sacramento Kings,W,104,93
2018-03-31,BOS,Florida Panthers,W,5,1,BOS,Toronto Raptors,W,110,99
2018-04-03,BOS,Tampa Bay Lightning,L,0,4,BOS,Milwaukee Bucks,L,102,106
2018-04-08,BOS,Florida Panthers,L,2,4,BOS,Atlanta Hawks,L,106,112
2018-10-20,BOS,Vancouver Canucks,L,1,2,BOS,New York Knicks,W,103,101
2018-10-25,BOS,Philadelphia Flyers,W,3,0,BOS,Oklahoma City Thunder,W,101,95
2018-10-27,BOS,Montreal Canadiens,L,0,3,BOS,Detroit Pistons,W,109,89
2018-10-30,BOS,Carolina Hurricanes,W,3,2,BOS,Detroit Pistons,W,108,105
2018-11-03,BOS,Nashville Predators,L,0,1,BOS,Indiana Pacers,L,101,102
2018-11-05,BOS,Dallas Stars,W,2,1,BOS,Denver Nuggets,L,107,115
2018-11-08,BOS,Vancouver Canucks,L,5,8,BOS,Phoenix Suns,W,116,109
2018-11-11,BOS,Vegas Golden Knights,W,4,1,BOS,Portland Trail Blazers,L,94,100
2018-11-14,BOS,Colorado Avalanche,L,3,6,BOS,Chicago Bulls,W,111,82
2018-11-16,BOS,Dallas Stars,L,0,1,BOS,Toronto Raptors,W,123,116
2018-11-17,BOS,Arizona Coyotes,W,2,1,BOS,Utah Jazz,L,86,98
2018-11-21,BOS,Detroit Red Wings,L,2,3,BOS,New York Knicks,L,109,117
2018-11-23,BOS,Pittsburgh Penguins,W,2,1,BOS,Atlanta Hawks,W,114,96
2018-11-24,BOS,Montreal Canadiens,W,3,2,BOS,Dallas Mavericks,L,104,113
2018-11-26,BOS,Toronto Maple Leafs,L,2,4,BOS,New Orleans Pelicans,W,124,107
2018-12-01,BOS,Detroit Red Wings,L,2,4,BOS,Minnesota Timberwolves,W,118,109
2018-12-06,BOS,Tampa Bay Lightning,L,2,3,BOS,New York Knicks,W,128,100
2018-12-08,BOS,Toronto Maple Leafs,W,6,3,BOS,Chicago Bulls,W,133,77
2018-12-14,BOS,Pittsburgh Penguins,L,3,5,BOS,Atlanta Hawks,W,129,108
2018-12-23,BOS,Carolina Hurricanes,L,3,5,BOS,Charlotte Hornets,W,119,103
2018-12-27,BOS,New Jersey Devils,L,2,5,BOS,Houston Rockets,L,113,127
2018-12-29,BOS,Buffalo Sabres,W,3,2,BOS,Memphis Grizzlies,W,112,103
2019-01-10,BOS,Washington Capitals,L,2,4,BOS,Miami Heat,L,99,115
2019-01-12,BOS,Toronto Maple Leafs,W,3,2,BOS,Orlando Magic,L,103,105
2019-01-14,BOS,Montreal Canadiens,L,2,3,BOS,Brooklyn Nets,L,102,109
2019-01-16,BOS,Philadelphia Flyers,L,3,4,BOS,Toronto Raptors,W,117,108
2019-01-19,BOS,New York Rangers,L,2,3,BOS,Atlanta Hawks,W,113,105
2019-02-03,BOS,Washington Capitals,W,1,0,BOS,Oklahoma City Thunder,W,134,129
2019-02-05,BOS,New York Islanders,W,3,1,BOS,Cleveland Cavaliers,W,103,96
2019-02-09,BOS,Los Angeles Kings,W,5,4,BOS,Los Angeles Clippers,L,112,123
2019-02-12,BOS,Chicago Blackhawks,W,6,3,BOS,Philadelphia 76ers,W,112,109
2019-02-23,BOS,St. Louis Blues,L,1,2,BOS,Chicago Bulls,L,116,126
2019-02-26,BOS,San Jose Sharks,W,4,1,BOS,Toronto Raptors,L,95,118
2019-03-05,BOS,Carolina Hurricanes,W,4,3,BOS,Golden State Warriors,W,128,95
2019-03-09,BOS,Ottawa Senators,W,3,2,BOS,Los Angeles Lakers,W,120,107
2019-03-14,BOS,Winnipeg Jets,L,3,4,BOS,Sacramento Kings,W,126,120
2019-03-16,BOS,Columbus Blue Jackets,W,2,1,BOS,Atlanta Hawks,W,129,120
2019-03-23,BOS,Florida Panthers,W,7,3,BOS,Charlotte Hornets,L,117,124
2019-03-30,BOS,Florida Panthers,L,1,4,BOS,Brooklyn Nets,L,96,110
2019-10-26,BOS,St. Louis Blues,W,3,0,BOS,New York Knicks,W,118,95
