Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2019-03-28,NYI,Winnipeg Jets,W,5,4,BRK,Philadelphia 76ers,L,110,123
2019-03-30,NYI,Buffalo Sabres,W,5,1,BRK,Boston Celtics,W,110,96
2019-04-01,NYI,Toronto Maple Leafs,L,1,2,BRK,Milwaukee Bucks,L,121,131
2019-04-06,NYI,Washington Capitals,W,3,0,BRK,Milwaukee Bucks,W,133,128
2019-10-25,NYI,Ottawa Senators,W,4,2,BRK,New York Knicks,W,113,109
2019-10-27,NYI,Philadelphia Flyers,W,5,3,BRK,Memphis Grizzlies,L,133,134
2019-11-01,NYI,Tampa Bay Lightning,W,5,2,BRK,Houston Rockets,W,123,116
2019-11-02,NYI,Buffalo Sabres,W,1,0,BRK,Detroit Pistons,L,109,113
2019-11-16,NYI,Philadelphia Flyers,W,4,3,BRK,Chicago Bulls,W,117,111
2019-11-25,NYI,Anaheim Ducks,L,0,3,BRK,Cleveland Cavaliers,W,108,106
2019-11-27,NYI,Los Angeles Kings,L,1,4,BRK,Boston Celtics,L,110,121
2019-12-14,NYI,Buffalo Sabres,W,3,2,BRK,Toronto Raptors,L,102,110
2019-12-17,NYI,Nashville Predators,L,3,8,BRK,New Orleans Pelicans,W,108,101
2019-12-19,NYI,Boston Bruins,W,3,2,BRK,San Antonio Spurs,L,105,118
2019-12-21,NYI,Anaheim Ducks,L,5,6,BRK,Atlanta Hawks,W,122,112
2020-01-02,NYI,New Jersey Devils,L,1,2,BRK,Dallas Mavericks,L,111,123
2020-01-04,NYI,Toronto Maple Leafs,L,0,3,BRK,Toronto Raptors,L,102,121
2020-01-06,NYI,Colorado Avalanche,W,1,0,BRK,Orlando Magic,L,89,101
2020-01-07,NYI,New Jersey Devils,W,4,3,BRK,Oklahoma City Thunder,L,103,111
2020-01-14,NYI,Detroit Red Wings,W,8,2,BRK,Utah Jazz,L,107,118
2020-01-18,NYI,Washington Capitals,L,4,6,BRK,Milwaukee Bucks,L,97,117
2020-02-01,NYI,Vancouver Canucks,L,3,4,BRK,Washington Wizards,L,107,113
2020-02-08,NYI,Tampa Bay Lightning,L,1,3,BRK,Toronto Raptors,L,118,119
2020-02-10,NYI,Washington Capitals,W,5,3,BRK,Indiana Pacers,W,106,105
2020-02-29,NYI,Boston Bruins,L,0,4,BRK,Miami Heat,L,113,116
2020-03-03,NYI,Montreal Canadiens,L,2,6,BRK,Boston Celtics,W,129,120
2020-03-10,NYI,Vancouver Canucks,L,4,5,BRK,Los Angeles Lakers,W,104,102
2021-01-16,NYI,New York Rangers,L,0,5,BRK,Orlando Magic,W,122,115
2021-01-18,NYI,Boston Bruins,W,1,0,BRK,Milwaukee Bucks,W,125,123
2021-01-31,NYI,Philadelphia Flyers,L,3,4,BRK,Washington Wizards,L,146,149
2021-02-06,NYI,Pittsburgh Penguins,W,4,3,BRK,Philadelphia 76ers,L,108,124
2021-02-13,NYI,Boston Bruins,W,4,2,BRK,Golden State Warriors,W,134,117
2021-02-15,NYI,Buffalo Sabres,W,3,1,BRK,Sacramento Kings,W,136,125
2021-02-16,NYI,Buffalo Sabres,W,3,0,BRK,Phoenix Suns,W,128,124
2021-02-18,NYI,Pittsburgh Penguins,L,1,4,BRK,Los Angeles Lakers,W,109,98
2021-02-25,NYI,Boston Bruins,W,7,2,BRK,Orlando Magic,W,129,92
2021-02-27,NYI,Pittsburgh Penguins,L,3,4,BRK,Dallas Mavericks,L,98,115
2021-03-11,NYI,New Jersey Devils,W,5,3,BRK,Boston Celtics,W,121,109
2021-03-13,NYI,New Jersey Devils,W,3,2,BRK,Detroit Pistons,W,100,95
2021-03-29,NYI,Pittsburgh Penguins,L,1,2,BRK,Minnesota Timberwolves,W,112,107
2021-04-01,NYI,Washington Capitals,W,8,4,BRK,Charlotte Hornets,W,111,89
2021-04-16,NYI,Boston Bruins,L,0,3,BRK,Charlotte Hornets,W,130,115
2021-04-18,NYI,Philadelphia Flyers,W,1,0,BRK,Miami Heat,L,107,109
2021-04-20,NYI,New York Rangers,W,6,1,BRK,New Orleans Pelicans,W,134,129
2021-04-27,NYI,Washington Capitals,L,0,1,BRK,Toronto Raptors,W,116,103
2021-04-29,NYI,New York Rangers,W,4,0,BRK,Indiana Pacers,W,130,113
2021-05-04,NYI,Buffalo Sabres,L,3,4,BRK,Milwaukee Bucks,L,118,124
2021-05-06,NYI,New Jersey Devils,L,1,2,BRK,Dallas Mavericks,L,109,113
2021-05-08,NYI,New Jersey Devils,W,5,1,BRK,Denver Nuggets,W,125,119
2021-10-19,NYI,Chicago Blackhawks,W,4,1,BRK,Milwaukee Bucks,L,104,127
2021-10-24,NYI,Vegas Golden Knights,W,2,0,BRK,Charlotte Hornets,L,95,111
2021-11-07,NYI,Minnesota Wild,L,2,5,BRK,Toronto Raptors,W,116,103
2021-11-16,NYI,Florida Panthers,L,1,6,BRK,Golden State Warriors,L,99,117
2021-11-24,NYI,New York Rangers,L,1,4,BRK,Boston Celtics,W,123,104
2021-12-04,NYI,Detroit Red Wings,L,3,4,BRK,Chicago Bulls,L,107,111
2021-12-07,NYI,Ottawa Senators,W,5,3,BRK,Dallas Mavericks,W,102,99
2021-12-14,NYI,Detroit Red Wings,L,1,2,BRK,Toronto Raptors,W,131,129
2021-12-16,NYI,Boston Bruins,W,3,1,BRK,Philadelphia 76ers,W,114,105
