Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2015-12-22,LAK,San Jose Sharks,L,3,5,LAL,Denver Nuggets,W,111,107
2015-12-28,LAK,Vancouver Canucks,W,5,0,LAL,Charlotte Hornets,L,98,108
2016-01-07,LAK,Toronto Maple Leafs,W,2,1,LAL,Sacramento Kings,L,115,118
2016-01-16,LAK,Ottawa Senators,L,3,5,LAL,Utah Jazz,L,82,109
2016-01-17,LAK,Anaheim Ducks,W,3,2,LAL,Houston Rockets,L,95,112
2016-01-23,LAK,Arizona Coyotes,L,2,3,LAL,Portland Trail Blazers,L,103,121
2016-02-02,LAK,Arizona Coyotes,W,6,2,LAL,Minnesota Timberwolves,W,119,115
2016-02-04,LAK,Anaheim Ducks,L,2,4,LAL,New Orleans Pelicans,W,99,96
2016-03-15,LAK,Dallas Stars,W,5,2,LAL,Sacramento Kings,L,98,106
2016-03-22,LAK,Minnesota Wild,L,1,2,LAL,Memphis Grizzlies,W,107,100
2016-03-28,LAK,San Jose Sharks,L,2,5,LAL,Utah Jazz,L,75,123
2016-04-05,LAK,Calgary Flames,W,5,4,LAL,Los Angeles Clippers,L,81,103
2016-10-30,LAK,Chicago Blackhawks,L,0,3,LAL,Oklahoma City Thunder,L,96,113
2016-11-01,LAK,Anaheim Ducks,L,0,4,LAL,Indiana Pacers,L,108,115
2016-11-08,LAK,Toronto Maple Leafs,W,7,0,LAL,Dallas Mavericks,L,97,109
2016-11-10,LAK,Montreal Canadiens,L,1,4,LAL,Sacramento Kings,W,101,91
2016-11-13,LAK,Winnipeg Jets,L,2,3,LAL,Minnesota Timberwolves,L,99,125
2016-11-15,LAK,Colorado Avalanche,L,1,4,LAL,Brooklyn Nets,W,125,118
2016-11-20,LAK,Anaheim Ducks,W,3,2,LAL,Chicago Bulls,L,110,118
2016-11-23,LAK,New York Islanders,W,4,2,LAL,Golden State Warriors,L,106,149
2016-11-30,LAK,San Jose Sharks,L,1,4,LAL,Chicago Bulls,W,96,90
2016-12-16,LAK,Pittsburgh Penguins,W,1,0,LAL,Philadelphia 76ers,W,100,89
2016-12-20,LAK,Columbus Blue Jackets,L,2,3,LAL,Charlotte Hornets,L,113,117
2016-12-22,LAK,Nashville Predators,W,4,0,LAL,Miami Heat,L,107,115
2016-12-23,LAK,Dallas Stars,L,2,3,LAL,Orlando Magic,L,90,109
2016-12-29,LAK,Edmonton Oilers,L,1,3,LAL,Dallas Mavericks,L,89,101
2017-01-03,LAK,San Jose Sharks,W,2,1,LAL,Memphis Grizzlies,W,116,102
2017-01-05,LAK,Detroit Red Wings,L,0,4,LAL,Portland Trail Blazers,L,109,118
2017-01-12,LAK,St. Louis Blues,W,5,1,LAL,San Antonio Spurs,L,94,134
2017-01-14,LAK,Winnipeg Jets,W,3,2,LAL,Los Angeles Clippers,L,97,113
2017-01-26,LAK,Carolina Hurricanes,W,3,0,LAL,Utah Jazz,L,88,96
2017-01-31,LAK,Arizona Coyotes,W,3,2,LAL,Denver Nuggets,W,120,116
2017-02-28,LAK,Calgary Flames,L,1,2,LAL,Charlotte Hornets,L,104,109
2017-03-09,LAK,Nashville Predators,W,3,2,LAL,Phoenix Suns,W,122,110
2017-03-13,LAK,St. Louis Blues,L,1,3,LAL,Denver Nuggets,L,101,129
2017-03-19,LAK,Calgary Flames,L,2,5,LAL,Cleveland Cavaliers,L,120,125
2017-03-28,LAK,Edmonton Oilers,L,1,2,LAL,Washington Wizards,L,108,119
2017-04-02,LAK,Arizona Coyotes,L,1,2,LAL,Memphis Grizzlies,W,108,103
2017-04-09,LAK,Anaheim Ducks,L,3,4,LAL,Minnesota Timberwolves,W,110,109
2017-10-28,LAK,Boston Bruins,W,2,1,LAL,Utah Jazz,L,81,96
2017-11-02,LAK,Toronto Maple Leafs,W,5,3,LAL,Portland Trail Blazers,L,110,113
2017-11-09,LAK,Tampa Bay Lightning,L,2,5,LAL,Washington Wizards,L,95,111
2017-11-19,LAK,Vegas Golden Knights,L,2,4,LAL,Denver Nuggets,W,127,109
2017-11-22,LAK,Winnipeg Jets,L,1,2,LAL,Sacramento Kings,L,102,113
2017-12-03,LAK,Chicago Blackhawks,W,3,1,LAL,Houston Rockets,L,95,118
2017-12-07,LAK,Ottawa Senators,W,4,3,LAL,Philadelphia 76ers,W,107,104
2017-12-09,LAK,Carolina Hurricanes,W,3,2,LAL,Charlotte Hornets,W,110,99
2017-12-12,LAK,New Jersey Devils,L,1,5,LAL,New York Knicks,L,109,113
2017-12-18,LAK,Philadelphia Flyers,W,4,1,LAL,Golden State Warriors,L,114,116
2017-12-23,LAK,San Jose Sharks,L,0,2,LAL,Portland Trail Blazers,L,92,95
2018-01-13,LAK,Anaheim Ducks,L,2,4,LAL,Dallas Mavericks,W,107,101
2018-01-15,LAK,San Jose Sharks,L,1,4,LAL,Memphis Grizzlies,L,114,123
2018-01-19,LAK,Anaheim Ducks,L,1,2,LAL,Indiana Pacers,W,99,86
2018-01-21,LAK,New York Rangers,W,4,2,LAL,New York Knicks,W,127,107
2018-01-23,LAK,Vancouver Canucks,L,2,6,LAL,Boston Celtics,W,108,107
2018-02-10,LAK,Tampa Bay Lightning,L,3,4,LAL,Dallas Mavericks,L,123,130
2018-02-15,LAK,Pittsburgh Penguins,L,1,3,LAL,Minnesota Timberwolves,L,111,119
2018-02-24,LAK,Edmonton Oilers,L,3,4,LAL,Sacramento Kings,W,113,108
2018-02-26,LAK,Vegas Golden Knights,W,3,2,LAL,Atlanta Hawks,W,123,104
2018-03-01,LAK,Columbus Blue Jackets,W,5,2,LAL,Miami Heat,W,131,113
2018-03-03,LAK,Chicago Blackhawks,L,3,5,LAL,San Antonio Spurs,W,116,112
2018-03-13,LAK,Arizona Coyotes,L,3,4,LAL,Denver Nuggets,W,112,103
2018-03-19,LAK,Minnesota Wild,W,4,3,LAL,Indiana Pacers,L,100,110
2018-03-22,LAK,Colorado Avalanche,W,7,1,LAL,New Orleans Pelicans,L,125,128
2018-03-24,LAK,Edmonton Oilers,L,2,3,LAL,Memphis Grizzlies,W,100,93
2018-03-26,LAK,Calgary Flames,W,3,0,LAL,Detroit Pistons,L,106,112
2018-03-30,LAK,Anaheim Ducks,L,1,2,LAL,Milwaukee Bucks,L,122,124
2018-10-18,LAK,New York Islanders,L,2,7,LAL,Portland Trail Blazers,L,119,128
2018-10-20,LAK,Buffalo Sabres,L,1,5,LAL,Houston Rockets,L,115,124
2018-10-25,LAK,Minnesota Wild,L,1,4,LAL,Denver Nuggets,W,121,114
2018-11-03,LAK,Columbus Blue Jackets,W,4,1,LAL,Portland Trail Blazers,W,114,110
2018-11-10,LAK,Calgary Flames,L,0,1,LAL,Sacramento Kings,W,101,86
2018-11-17,LAK,Nashville Predators,L,3,5,LAL,Orlando Magic,L,117,130
