Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2016-04-09,CHI,Columbus Blue Jackets,L,4,5,CHI,Cleveland Cavaliers,W,105,102
2016-11-05,CHI,Dallas Stars,W,3,2,CHI,Indiana Pacers,L,94,111
2016-11-09,CHI,St. Louis Blues,W,2,1,CHI,Atlanta Hawks,L,107,115
2016-11-15,CHI,Winnipeg Jets,L,0,4,CHI,Portland Trail Blazers,W,113,88
2016-11-19,CHI,Vancouver Canucks,W,4,3,CHI,Los Angeles Clippers,L,95,102
2016-11-25,CHI,Anaheim Ducks,W,3,2,CHI,Philadelphia 76ers,W,105,89
2016-12-03,CHI,Philadelphia Flyers,L,1,3,CHI,Dallas Mavericks,L,82,107
2016-12-06,CHI,Arizona Coyotes,W,4,0,CHI,Detroit Pistons,L,91,102
2016-12-13,CHI,New York Rangers,W,2,1,CHI,Minnesota Timberwolves,L,94,99
2016-12-15,CHI,New York Islanders,W,5,4,CHI,Milwaukee Bucks,L,97,108
2016-12-23,CHI,Colorado Avalanche,L,1,2,CHI,Charlotte Hornets,L,91,103
2016-12-30,CHI,Carolina Hurricanes,L,2,3,CHI,Indiana Pacers,L,101,111
2017-01-02,CHI,St. Louis Blues,L,1,4,CHI,Charlotte Hornets,W,118,111
2017-01-10,CHI,Detroit Red Wings,W,4,3,CHI,Washington Wizards,L,99,101
2017-01-15,CHI,Minnesota Wild,L,2,3,CHI,Memphis Grizzlies,W,108,104
2017-01-17,CHI,Colorado Avalanche,W,6,4,CHI,Dallas Mavericks,L,98,99
2017-01-20,CHI,Boston Bruins,W,1,0,CHI,Atlanta Hawks,L,93,102
2017-01-24,CHI,Tampa Bay Lightning,L,2,5,CHI,Orlando Magic,W,100,92
2017-02-08,CHI,Minnesota Wild,W,4,3,CHI,Golden State Warriors,L,92,123
2017-02-10,CHI,Winnipeg Jets,W,5,2,CHI,Phoenix Suns,L,97,115
2017-03-04,CHI,Nashville Predators,W,5,3,CHI,Los Angeles Clippers,L,91,101
2017-03-10,CHI,Detroit Red Wings,L,2,4,CHI,Houston Rockets,L,94,115
2017-03-12,CHI,Minnesota Wild,W,4,2,CHI,Boston Celtics,L,80,100
2017-03-18,CHI,Toronto Maple Leafs,W,2,1,CHI,Utah Jazz,W,95,86
2017-03-21,CHI,Vancouver Canucks,L,4,5,CHI,Toronto Raptors,L,120,122
2017-04-02,CHI,Boston Bruins,L,2,3,CHI,New Orleans Pelicans,W,117,110
2017-04-04,CHI,Colorado Avalanche,L,3,4,CHI,New York Knicks,L,91,100
2017-04-06,CHI,Anaheim Ducks,L,0,4,CHI,Philadelphia 76ers,W,102,90
2017-04-08,CHI,Los Angeles Kings,L,2,3,CHI,Brooklyn Nets,L,106,107
2017-10-19,CHI,Edmonton Oilers,L,1,2,CHI,Toronto Raptors,L,100,117
2017-10-21,CHI,Arizona Coyotes,W,4,2,CHI,San Antonio Spurs,L,77,87
2017-10-24,CHI,Vegas Golden Knights,L,2,4,CHI,Cleveland Cavaliers,L,112,119
2017-10-28,CHI,Colorado Avalanche,L,3,6,CHI,Oklahoma City Thunder,L,69,101
2017-11-01,CHI,Philadelphia Flyers,W,3,0,CHI,Miami Heat,L,91,97
2017-11-04,CHI,Minnesota Wild,W,2,0,CHI,New Orleans Pelicans,L,90,96
2017-11-11,CHI,Carolina Hurricanes,W,4,3,CHI,San Antonio Spurs,L,94,133
2017-11-15,CHI,New York Rangers,W,6,3,CHI,Oklahoma City Thunder,L,79,92
2017-11-22,CHI,Tampa Bay Lightning,L,2,3,CHI,Utah Jazz,L,80,110
2017-11-28,CHI,Nashville Predators,L,2,3,CHI,Phoenix Suns,L,99,104
2017-11-30,CHI,Dallas Stars,L,3,4,CHI,Denver Nuggets,L,110,111
2017-12-06,CHI,Washington Capitals,L,2,6,CHI,Indiana Pacers,L,96,98
2017-12-08,CHI,Buffalo Sabres,W,3,2,CHI,Charlotte Hornets,W,119,111
2017-12-21,CHI,Dallas Stars,L,0,4,CHI,Cleveland Cavaliers,L,112,115
2017-12-23,CHI,New Jersey Devils,L,1,4,CHI,Boston Celtics,L,92,117
2017-12-29,CHI,Edmonton Oilers,W,4,3,CHI,Indiana Pacers,W,119,107
2017-12-31,CHI,Calgary Flames,L,3,4,CHI,Washington Wizards,L,110,114
2018-01-03,CHI,New York Rangers,W,5,2,CHI,Toronto Raptors,L,115,124
2018-01-05,CHI,Vegas Golden Knights,L,4,5,CHI,Dallas Mavericks,W,127,124
2018-01-10,CHI,Minnesota Wild,L,1,2,CHI,New York Knicks,W,122,119
2018-01-20,CHI,New York Islanders,L,3,7,CHI,Atlanta Hawks,W,113,97
