Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2015-11-12,MIN,Carolina Hurricanes,W,3,2,MIN,Golden State Warriors,L,116,129
2015-11-17,MIN,Pittsburgh Penguins,L,3,4,MIN,Miami Heat,W,103,91
2015-11-25,MIN,Vancouver Canucks,L,2,3,MIN,Atlanta Hawks,W,99,95
2015-11-27,MIN,Winnipeg Jets,L,1,3,MIN,Sacramento Kings,W,101,91
2015-12-01,MIN,Chicago Blackhawks,W,2,1,MIN,Orlando Magic,L,93,96
2015-12-05,MIN,Colorado Avalanche,W,3,0,MIN,Portland Trail Blazers,L,103,109
2015-12-07,MIN,Colorado Avalanche,L,1,2,MIN,Los Angeles Clippers,L,106,110
2015-12-11,MIN,Arizona Coyotes,L,1,2,MIN,Denver Nuggets,L,108,111
2015-12-15,MIN,Vancouver Canucks,W,6,2,MIN,Denver Nuggets,L,100,112
2015-12-21,MIN,Dallas Stars,L,3,6,MIN,Boston Celtics,L,99,113
2015-12-26,MIN,Pittsburgh Penguins,L,1,3,MIN,Indiana Pacers,L,88,102
2015-12-28,MIN,Detroit Red Wings,W,3,1,MIN,San Antonio Spurs,L,95,101
2015-12-31,MIN,St. Louis Blues,W,3,1,MIN,Detroit Pistons,L,90,115
2016-01-02,MIN,Tampa Bay Lightning,L,2,3,MIN,Milwaukee Bucks,L,85,95
2016-01-10,MIN,New Jersey Devils,L,1,2,MIN,Dallas Mavericks,L,87,93
2016-01-12,MIN,Buffalo Sabres,L,2,3,MIN,Oklahoma City Thunder,L,96,101
2016-01-15,MIN,Winnipeg Jets,L,0,1,MIN,Oklahoma City Thunder,L,93,113
2016-01-20,MIN,Anaheim Ducks,L,1,3,MIN,Dallas Mavericks,L,94,106
2016-01-23,MIN,San Jose Sharks,L,3,4,MIN,Memphis Grizzlies,W,106,101
2016-01-25,MIN,Arizona Coyotes,L,1,2,MIN,Cleveland Cavaliers,L,107,114
2016-02-02,MIN,New York Islanders,L,3,5,MIN,Los Angeles Lakers,L,115,119
2016-02-06,MIN,St. Louis Blues,L,1,4,MIN,Chicago Bulls,W,112,105
2016-02-28,MIN,Florida Panthers,W,3,1,MIN,Dallas Mavericks,L,101,128
2016-03-05,MIN,Buffalo Sabres,W,3,2,MIN,Brooklyn Nets,W,132,118
2016-03-26,MIN,Colorado Avalanche,W,4,0,MIN,Utah Jazz,L,84,93
2016-04-01,MIN,Detroit Red Wings,L,2,3,MIN,Utah Jazz,L,85,98
2016-04-03,MIN,Winnipeg Jets,L,1,5,MIN,Dallas Mavericks,L,78,88
2016-04-05,MIN,San Jose Sharks,L,0,3,MIN,Golden State Warriors,W,124,117
2016-04-09,MIN,Calgary Flames,L,1,2,MIN,Portland Trail Blazers,W,106,105
2016-10-29,MIN,Dallas Stars,W,4,0,MIN,Sacramento Kings,L,103,106
2016-11-01,MIN,Buffalo Sabres,L,1,2,MIN,Memphis Grizzlies,W,116,80
2016-11-05,MIN,Colorado Avalanche,L,0,1,MIN,Oklahoma City Thunder,L,92,112
2016-11-12,MIN,Philadelphia Flyers,L,2,3,MIN,Los Angeles Clippers,L,105,119
2016-11-13,MIN,Ottawa Senators,W,2,1,MIN,Los Angeles Lakers,W,125,99
2016-11-15,MIN,Calgary Flames,L,0,1,MIN,Charlotte Hornets,L,108,115
2016-11-17,MIN,Boston Bruins,W,1,0,MIN,Philadelphia 76ers,W,110,86
2016-11-19,MIN,Colorado Avalanche,L,2,3,MIN,Memphis Grizzlies,L,71,93
2016-11-21,MIN,Dallas Stars,L,2,3,MIN,Boston Celtics,L,93,99
2016-11-23,MIN,Winnipeg Jets,W,3,1,MIN,New Orleans Pelicans,L,96,117
2016-11-25,MIN,Pittsburgh Penguins,W,6,2,MIN,Phoenix Suns,W,98,85
2016-11-26,MIN,St. Louis Blues,L,3,4,MIN,Golden State Warriors,L,102,115
2016-12-02,MIN,Calgary Flames,L,2,3,MIN,New York Knicks,L,114,118
2016-12-09,MIN,Edmonton Oilers,W,3,2,MIN,Detroit Pistons,L,90,117
2016-12-11,MIN,St. Louis Blues,W,3,1,MIN,Golden State Warriors,L,108,116
