Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2015-01-10,DET,Washington Capitals,L,1,3,DET,Brooklyn Nets,W,98,93
2015-01-17,DET,Nashville Predators,W,5,2,DET,Philadelphia 76ers,W,107,89
2015-01-27,DET,Florida Panthers,W,5,4,DET,Cleveland Cavaliers,L,95,103
2015-01-31,DET,New York Islanders,W,4,1,DET,Houston Rockets,W,114,101
2015-02-11,DET,Pittsburgh Penguins,L,1,4,DET,San Antonio Spurs,L,87,104
2015-02-24,DET,Los Angeles Kings,L,0,1,DET,Cleveland Cavaliers,L,93,102
2015-02-28,DET,Nashville Predators,W,4,3,DET,Washington Wizards,L,95,99
2015-03-04,DET,New York Rangers,W,2,1,DET,New Orleans Pelicans,L,85,88
2015-03-06,DET,Calgary Flames,L,2,5,DET,Houston Rockets,L,93,103
2015-03-08,DET,Boston Bruins,L,3,5,DET,Charlotte Hornets,L,101,108
2015-03-14,DET,Philadelphia Flyers,L,2,7,DET,Utah Jazz,L,85,88
2015-03-22,DET,St. Louis Blues,W,2,1,DET,Boston Celtics,W,105,97
2015-03-24,DET,Arizona Coyotes,L,4,5,DET,Toronto Raptors,W,108,104
2015-03-29,DET,New York Islanders,L,4,5,DET,Miami Heat,L,102,109
2015-03-31,DET,Ottawa Senators,L,1,2,DET,Atlanta Hawks,W,105,95
2015-04-04,DET,Minnesota Wild,W,3,2,DET,Miami Heat,W,99,98
2015-10-27,DET,Carolina Hurricanes,L,1,3,DET,Atlanta Hawks,W,106,94
2015-10-30,DET,Ottawa Senators,L,1,3,DET,Chicago Bulls,W,98,94
2015-11-03,DET,Tampa Bay Lightning,W,2,1,DET,Indiana Pacers,L,82,94
2015-11-06,DET,Toronto Maple Leafs,W,2,1,DET,Phoenix Suns,W,100,92
2015-11-08,DET,Dallas Stars,L,1,4,DET,Portland Trail Blazers,W,120,103
2015-11-14,DET,Boston Bruins,L,1,3,DET,Los Angeles Clippers,L,96,101
2015-11-20,DET,Los Angeles Kings,W,3,2,DET,Minnesota Timberwolves,W,96,86
2015-11-21,DET,St. Louis Blues,W,4,3,DET,Washington Wizards,L,95,97
2015-11-25,DET,Boston Bruins,L,2,3,DET,Miami Heat,W,104,81
2015-11-27,DET,Edmonton Oilers,W,4,3,DET,Oklahoma City Thunder,L,87,103
2015-11-29,DET,Florida Panthers,L,1,2,DET,Brooklyn Nets,L,83,87
2015-12-11,DET,New Jersey Devils,L,2,3,DET,Philadelphia 76ers,W,107,95
2015-12-14,DET,Buffalo Sabres,L,1,2,DET,Los Angeles Clippers,L,103,105
2015-12-18,DET,Vancouver Canucks,L,3,4,DET,Chicago Bulls,W,147,144
2015-12-22,DET,New Jersey Devils,L,3,4,DET,Miami Heat,W,93,92
2015-12-26,DET,Nashville Predators,W,3,2,DET,Boston Celtics,L,93,99
2015-12-29,DET,Winnipeg Jets,L,1,4,DET,New York Knicks,L,96,108
2015-12-31,DET,Pittsburgh Penguins,L,2,5,DET,Minnesota Timberwolves,W,115,90
2016-01-02,DET,Buffalo Sabres,W,4,3,DET,Indiana Pacers,L,82,94
2016-01-04,DET,New Jersey Devils,W,1,0,DET,Orlando Magic,W,115,89
2016-01-14,DET,Arizona Coyotes,W,3,2,DET,Memphis Grizzlies,L,101,103
2016-01-20,DET,St. Louis Blues,L,1,2,DET,Houston Rockets,W,123,114
2016-01-23,DET,Anaheim Ducks,L,3,4,DET,Denver Nuggets,L,101,104
2016-01-25,DET,New York Islanders,W,4,2,DET,Utah Jazz,W,95,92
2016-02-03,DET,Tampa Bay Lightning,L,1,3,DET,Boston Celtics,L,95,102
2016-02-04,DET,Florida Panthers,L,3,6,DET,New York Knicks,W,111,105
2016-02-06,DET,New York Islanders,W,5,1,DET,Indiana Pacers,L,104,112
2016-02-08,DET,Florida Panthers,W,3,0,DET,Toronto Raptors,L,89,103
2016-02-10,DET,Ottawa Senators,W,3,1,DET,Denver Nuggets,L,92,103
2016-02-21,DET,New York Rangers,L,0,1,DET,New Orleans Pelicans,L,106,111
2016-02-27,DET,Colorado Avalanche,W,5,3,DET,Milwaukee Bucks,W,102,91
2016-03-02,DET,Chicago Blackhawks,L,2,5,DET,San Antonio Spurs,L,81,97
2016-03-06,DET,Chicago Blackhawks,L,1,4,DET,Portland Trail Blazers,W,123,103
2016-03-12,DET,New York Rangers,W,3,2,DET,Philadelphia 76ers,W,125,111
2016-03-19,DET,Florida Panthers,W,5,3,DET,Brooklyn Nets,W,115,103
2016-03-26,DET,Pittsburgh Penguins,L,2,7,DET,Atlanta Hawks,L,95,112
2016-03-29,DET,Montreal Canadiens,L,3,4,DET,Oklahoma City Thunder,W,88,82
2016-04-01,DET,Minnesota Wild,W,3,2,DET,Dallas Mavericks,L,89,98
2016-04-02,DET,Toronto Maple Leafs,W,3,2,DET,Chicago Bulls,W,94,90
2016-04-06,DET,Philadelphia Flyers,W,3,0,DET,Orlando Magic,W,108,104
2016-10-30,DET,Florida Panthers,L,2,5,DET,Milwaukee Bucks,W,98,83
2016-11-02,DET,Philadelphia Flyers,L,3,4,DET,Brooklyn Nets,L,101,109
2016-11-12,DET,Montreal Canadiens,L,0,5,DET,Denver Nuggets,W,106,95
2016-11-18,DET,Washington Capitals,L,0,1,DET,Cleveland Cavaliers,L,81,104
2016-11-23,DET,Buffalo Sabres,W,2,1,DET,Miami Heat,W,107,84
2016-11-25,DET,New Jersey Devils,W,5,4,DET,Los Angeles Clippers,W,108,97
2016-11-26,DET,Montreal Canadiens,L,1,2,DET,Oklahoma City Thunder,L,88,106
2016-11-29,DET,Dallas Stars,W,3,1,DET,Charlotte Hornets,W,112,89
2016-12-04,DET,New York Islanders,W,4,3,DET,Orlando Magic,L,92,98
2016-12-06,DET,Winnipeg Jets,W,4,3,DET,Chicago Bulls,W,102,91
2016-12-09,DET,Columbus Blue Jackets,L,1,4,DET,Minnesota Timberwolves,W,117,90
2016-12-11,DET,Philadelphia Flyers,L,0,1,DET,Philadelphia 76ers,L,79,97
2016-12-17,DET,Anaheim Ducks,W,6,4,DET,Indiana Pacers,L,90,105
2016-12-23,DET,Florida Panthers,W,4,3,DET,Golden State Warriors,L,113,119
2017-01-01,DET,Toronto Maple Leafs,L,4,5,DET,Miami Heat,W,107,98
2017-01-05,DET,Los Angeles Kings,W,4,0,DET,Charlotte Hornets,W,115,114
2017-01-10,DET,Chicago Blackhawks,L,3,4,DET,Sacramento Kings,L,94,100
2017-01-12,DET,Dallas Stars,L,2,5,DET,Golden State Warriors,L,107,127
2017-01-18,DET,Boston Bruins,W,6,5,DET,Atlanta Hawks,W,118,95
2017-02-03,DET,New York Islanders,W,5,4,DET,Minnesota Timberwolves,W,116,108
2017-02-04,DET,Nashville Predators,W,1,0,DET,Indiana Pacers,L,84,105
2017-02-12,DET,Minnesota Wild,L,3,6,DET,Toronto Raptors,W,102,101
2017-02-15,DET,St. Louis Blues,L,0,2,DET,Dallas Mavericks,W,98,91
2017-02-28,DET,Vancouver Canucks,W,3,2,DET,Portland Trail Blazers,W,120,113
2017-03-04,DET,Edmonton Oilers,L,3,4,DET,Philadelphia 76ers,W,136,106
2017-03-08,DET,Boston Bruins,L,1,6,DET,Indiana Pacers,L,98,115
2017-03-15,DET,Colorado Avalanche,L,1,3,DET,Utah Jazz,L,83,97
2017-03-21,DET,Montreal Canadiens,W,2,1,DET,Brooklyn Nets,L,96,98
2017-03-24,DET,Tampa Bay Lightning,L,1,2,DET,Orlando Magic,L,87,115
2017-03-27,DET,Carolina Hurricanes,W,4,3,DET,New York Knicks,L,95,109
