Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2017-10-19,NYR,New York Islanders,L,3,4,NYK,Oklahoma City Thunder,L,84,105
2017-10-21,NYR,Nashville Predators,W,4,2,NYK,Detroit Pistons,L,107,111
2017-11-08,NYR,Boston Bruins,W,4,2,NYK,Orlando Magic,L,99,112
2017-11-11,NYR,Edmonton Oilers,W,4,2,NYK,Sacramento Kings,W,118,91
2017-11-15,NYR,Chicago Blackhawks,L,3,6,NYK,Utah Jazz,W,106,101
2017-11-17,NYR,Columbus Blue Jackets,L,0,2,NYK,Toronto Raptors,L,84,107
2017-11-22,NYR,Carolina Hurricanes,W,6,1,NYK,Toronto Raptors,W,108,100
2017-11-24,NYR,Detroit Red Wings,W,2,1,NYK,Atlanta Hawks,L,104,116
2017-12-09,NYR,New Jersey Devils,W,5,2,NYK,Chicago Bulls,L,102,104
2017-12-16,NYR,Boston Bruins,W,3,2,NYK,Oklahoma City Thunder,W,111,96
2017-12-21,NYR,New Jersey Devils,L,3,4,NYK,Boston Celtics,W,102,93
2017-12-27,NYR,Washington Capitals,W,1,0,NYK,Chicago Bulls,L,87,92
2018-01-03,NYR,Chicago Blackhawks,L,2,5,NYK,Washington Wizards,L,103,121
2018-01-07,NYR,Vegas Golden Knights,L,1,2,NYK,Dallas Mavericks,W,100,96
2018-01-14,NYR,Pittsburgh Penguins,L,2,5,NYK,New Orleans Pelicans,L,118,123
2018-01-21,NYR,Los Angeles Kings,L,2,4,NYK,Los Angeles Lakers,L,107,127
2018-01-23,NYR,Anaheim Ducks,L,3,6,NYK,Golden State Warriors,L,112,123
2018-01-25,NYR,San Jose Sharks,W,6,5,NYK,Denver Nuggets,L,118,130
2018-02-11,NYR,Winnipeg Jets,W,3,1,NYK,Indiana Pacers,L,113,121
2018-02-22,NYR,Montreal Canadiens,L,1,3,NYK,Orlando Magic,W,120,113
2018-03-02,NYR,Calgary Flames,W,3,1,NYK,Los Angeles Clippers,L,105,128
2018-03-06,NYR,Winnipeg Jets,L,0,3,NYK,Portland Trail Blazers,L,87,111
2018-03-17,NYR,St. Louis Blues,L,3,4,NYK,Charlotte Hornets,W,124,101
2018-03-26,NYR,Washington Capitals,L,2,4,NYK,Charlotte Hornets,L,128,137
2018-03-28,NYR,Washington Capitals,L,2,3,NYK,Philadelphia 76ers,L,101,118
2018-03-31,NYR,Carolina Hurricanes,W,2,1,NYK,Detroit Pistons,L,109,115
2018-04-03,NYR,New Jersey Devils,L,2,5,NYK,Orlando Magic,L,73,97
2018-04-07,NYR,Philadelphia Flyers,L,0,5,NYK,Milwaukee Bucks,L,102,115
2018-10-17,NYR,Washington Capitals,L,3,4,NYK,Atlanta Hawks,W,126,107
2018-11-04,NYR,Buffalo Sabres,W,3,1,NYK,Washington Wizards,L,95,108
2018-11-10,NYR,Columbus Blue Jackets,W,5,4,NYK,Toronto Raptors,L,112,128
2018-11-21,NYR,New York Islanders,W,5,0,NYK,Boston Celtics,W,117,109
2018-11-23,NYR,Philadelphia Flyers,L,0,4,NYK,New Orleans Pelicans,W,114,109
2018-12-01,NYR,Montreal Canadiens,L,2,5,NYK,Milwaukee Bucks,W,136,134
2018-12-08,NYR,Florida Panthers,W,5,4,NYK,Brooklyn Nets,L,104,112
2018-12-14,NYR,Arizona Coyotes,L,3,4,NYK,Charlotte Hornets,W,126,124
