Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2015-12-22,TOR,Arizona Coyotes,L,2,3,TOR,Dallas Mavericks,W,103,99
2015-12-30,TOR,Pittsburgh Penguins,W,3,2,TOR,Washington Wizards,W,94,91
2016-01-06,TOR,Anaheim Ducks,W,4,0,TOR,Brooklyn Nets,W,91,74
2016-01-09,TOR,San Jose Sharks,L,0,7,TOR,Philadelphia 76ers,W,108,95
2016-01-26,TOR,Florida Panthers,L,1,5,TOR,Washington Wizards,W,106,89
2016-02-02,TOR,Boston Bruins,W,4,3,TOR,Phoenix Suns,W,104,97
2016-02-04,TOR,New Jersey Devils,W,3,2,TOR,Portland Trail Blazers,W,110,103
2016-03-02,TOR,Washington Capitals,L,2,3,TOR,Utah Jazz,W,104,94
2016-03-12,TOR,Ottawa Senators,L,0,4,TOR,Miami Heat,W,112,104
2016-03-15,TOR,Tampa Bay Lightning,W,4,1,TOR,Milwaukee Bucks,W,107,89
2016-03-17,TOR,Florida Panthers,L,1,4,TOR,Indiana Pacers,W,101,94
2016-03-26,TOR,Boston Bruins,L,1,3,TOR,New Orleans Pelicans,W,115,91
2016-03-28,TOR,Tampa Bay Lightning,L,0,3,TOR,Oklahoma City Thunder,L,100,119
2016-04-02,TOR,Detroit Red Wings,L,2,3,TOR,San Antonio Spurs,L,95,102
2016-04-07,TOR,Philadelphia Flyers,W,4,3,TOR,Atlanta Hawks,L,87,95
2016-11-11,TOR,Philadelphia Flyers,W,6,3,TOR,Charlotte Hornets,W,113,111
2016-11-12,TOR,Pittsburgh Penguins,L,1,4,TOR,New York Knicks,W,118,107
2016-11-15,TOR,Nashville Predators,W,6,2,TOR,Cleveland Cavaliers,L,117,121
2016-11-23,TOR,New Jersey Devils,L,4,5,TOR,Houston Rockets,W,115,102
2016-11-30,TOR,Calgary Flames,L,0,3,TOR,Memphis Grizzlies,W,120,105
2016-12-03,TOR,Vancouver Canucks,L,2,3,TOR,Atlanta Hawks,W,128,84
2016-12-23,TOR,Arizona Coyotes,W,4,1,TOR,Utah Jazz,W,104,98
2016-12-28,TOR,Florida Panthers,W,3,2,TOR,Golden State Warriors,L,111,121
2016-12-29,TOR,Tampa Bay Lightning,W,3,2,TOR,Phoenix Suns,L,91,99
2017-01-01,TOR,Detroit Red Wings,W,5,4,TOR,Los Angeles Lakers,W,123,114
2017-01-03,TOR,Washington Capitals,L,5,6,TOR,San Antonio Spurs,L,82,110
2017-01-07,TOR,Montreal Canadiens,L,3,5,TOR,Chicago Bulls,L,118,123
2017-01-13,TOR,New York Rangers,W,4,2,TOR,Brooklyn Nets,W,132,113
2017-01-17,TOR,Buffalo Sabres,W,4,3,TOR,Brooklyn Nets,W,119,109
2017-01-25,TOR,Detroit Red Wings,W,4,0,TOR,Memphis Grizzlies,L,99,101
2017-01-31,TOR,Dallas Stars,L,3,6,TOR,New Orleans Pelicans,W,108,106
2017-02-06,TOR,New York Islanders,L,5,6,TOR,Los Angeles Clippers,W,118,109
2017-02-14,TOR,New York Islanders,W,7,1,TOR,Chicago Bulls,L,94,105
2017-02-15,TOR,Columbus Blue Jackets,L,2,5,TOR,Charlotte Hornets,W,90,85
2017-03-03,TOR,Anaheim Ducks,L,2,5,TOR,Washington Wizards,W,114,106
2017-03-11,TOR,Carolina Hurricanes,W,3,2,TOR,Miami Heat,L,89,104
2017-03-16,TOR,Tampa Bay Lightning,W,5,0,TOR,Oklahoma City Thunder,L,102,123
2017-03-23,TOR,New Jersey Devils,W,4,2,TOR,Miami Heat,W,101,84
2017-03-25,TOR,Buffalo Sabres,L,2,5,TOR,Dallas Mavericks,W,94,86
2017-04-04,TOR,Washington Capitals,L,1,4,TOR,Indiana Pacers,L,90,108
2017-04-09,TOR,Columbus Blue Jackets,L,2,3,TOR,New York Knicks,W,110,97
