NHL Team,Date,Opponent,Result,Team Score,Opponent Score
TOR,2014-01-21,Colorado Avalanche,W,5,2
TOR,2014-01-23,Dallas Stars,L,1,7
TOR,2014-01-25,Winnipeg Jets,L,4,5
TOR,2014-01-28,Tampa Bay Lightning,W,3,2
TOR,2014-01-30,Florida Panthers,W,6,3
TOR,2014-02-01,Ottawa Senators,W,6,3
TOR,2014-02-04,Florida Panthers,L,1,4
TOR,2014-02-06,Tampa Bay Lightning,W,4,1
TOR,2014-02-08,Vancouver Canucks,W,3,1
TOR,2014-02-27,New York Islanders,L,4,5
TOR,2014-03-01,Montreal Canadiens,L,3,4
TOR,2014-03-03,Columbus Blue Jackets,L,1,2
TOR,2014-03-05,New York Rangers,W,3,2
TOR,2014-03-08,Philadelphia Flyers,W,4,3
TOR,2014-03-10,Anaheim Ducks,W,3,1
TOR,2014-03-11,San Jose Sharks,L,2,6
TOR,2014-03-13,Los Angeles Kings,W,3,2
TOR,2014-03-16,Washington Capitals,L,2,4
TOR,2014-03-18,Detroit Red Wings,L,2,3
TOR,2014-03-19,Tampa Bay Lightning,L,3,5
TOR,2014-03-22,Montreal Canadiens,L,3,4
TOR,2014-03-23,New Jersey Devils,L,2,3
TOR,2014-03-25,St. Louis Blues,L,3,5
TOR,2014-03-28,Philadelphia Flyers,L,2,4
TOR,2014-03-29,Detroit Red Wings,L,2,4
TOR,2014-04-01,Calgary Flames,W,3,2
TOR,2014-04-03,Boston Bruins,W,4,3
TOR,2014-04-05,Winnipeg Jets,L,2,4
TOR,2014-04-08,Tampa Bay Lightning,L,0,3
TOR,2014-04-10,Florida Panthers,L,2,4
TOR,2014-04-12,Ottawa Senators,L,0,1
TOR,2014-10-08,Montreal Canadiens,L,3,4
TOR,2014-10-11,Pittsburgh Penguins,L,2,5
TOR,2014-10-12,New York Rangers,W,6,3
TOR,2014-10-14,Colorado Avalanche,W,3,2
TOR,2014-10-17,Detroit Red Wings,L,1,4
TOR,2014-10-18,Detroit Red Wings,L,0,1
TOR,2014-10-21,New York Islanders,W,5,2
TOR,2014-10-25,Boston Bruins,L,1,4
TOR,2014-10-28,Buffalo Sabres,W,4,0
TOR,2014-10-31,Columbus Blue Jackets,W,4,1
TOR,2014-11-01,Chicago Blackhawks,W,3,2
TOR,2014-11-04,Arizona Coyotes,L,2,3
TOR,2014-11-06,Colorado Avalanche,L,3,4
TOR,2014-11-08,New York Rangers,W,5,4
TOR,2014-11-09,Ottawa Senators,W,5,3
TOR,2014-11-12,Boston Bruins,W,6,1
TOR,2014-11-14,Pittsburgh Penguins,L,1,2
TOR,2014-11-15,Buffalo Sabres,L,2,6
TOR,2014-11-18,Nashville Predators,L,2,9
TOR,2014-11-20,Tampa Bay Lightning,W,5,2
TOR,2014-11-22,Detroit Red Wings,W,4,1
TOR,2014-11-26,Pittsburgh Penguins,L,3,4
TOR,2014-11-29,Washington Capitals,W,6,2
TOR,2014-12-02,Dallas Stars,W,5,3
TOR,2014-12-04,New Jersey Devils,L,3,5
TOR,2014-12-06,Vancouver Canucks,W,5,2
TOR,2014-12-09,Calgary Flames,W,4,1
TOR,2014-12-10,Detroit Red Wings,W,2,1
TOR,2014-12-13,Detroit Red Wings,W,4,1
TOR,2014-12-14,Los Angeles Kings,W,4,3
TOR,2014-12-16,Anaheim Ducks,W,6,2
TOR,2014-12-18,Carolina Hurricanes,L,1,4
TOR,2014-12-20,Philadelphia Flyers,L,4,7
TOR,2014-12-21,Chicago Blackhawks,L,0,4
TOR,2014-12-23,Dallas Stars,W,4,0
TOR,2014-12-28,Florida Panthers,L,4,6
TOR,2014-12-29,Tampa Bay Lightning,L,2,3
TOR,2014-12-31,Boston Bruins,W,4,3
TOR,2015-01-02,Minnesota Wild,L,1,3
TOR,2015-01-03,Winnipeg Jets,L,1,5
TOR,2015-01-07,Washington Capitals,L,2,6
TOR,2015-01-09,Columbus Blue Jackets,W,5,2
TOR,2015-01-12,Los Angeles Kings,L,0,2
TOR,2015-01-14,Anaheim Ducks,L,0,4
TOR,2015-01-15,San Jose Sharks,L,1,3
TOR,2015-01-17,St. Louis Blues,L,0,3
TOR,2015-01-19,Carolina Hurricanes,L,1,4
TOR,2015-01-21,Ottawa Senators,L,3,4
TOR,2015-01-28,New Jersey Devils,L,1,2
TOR,2015-01-29,Arizona Coyotes,L,1,3
TOR,2015-01-31,Philadelphia Flyers,L,0,1
TOR,2015-02-03,Nashville Predators,L,3,4
TOR,2015-02-06,New Jersey Devils,L,1,4
TOR,2015-02-07,Edmonton Oilers,W,5,1
TOR,2015-02-10,New York Rangers,L,4,5
TOR,2015-02-12,New York Islanders,L,2,3
TOR,2015-02-14,Montreal Canadiens,L,1,2
TOR,2015-02-17,Florida Panthers,L,2,3
TOR,2015-02-20,Carolina Hurricanes,L,1,2
TOR,2015-02-21,Winnipeg Jets,W,4,3
TOR,2015-02-26,Philadelphia Flyers,W,3,2
TOR,2015-02-28,Montreal Canadiens,L,0,4
TOR,2015-03-01,Washington Capitals,L,0,4
TOR,2015-03-03,Florida Panthers,W,3,2
TOR,2015-03-05,Tampa Bay Lightning,L,2,4
TOR,2015-03-07,St. Louis Blues,L,1,6
TOR,2015-03-09,New York Islanders,L,3,4
TOR,2015-03-11,Buffalo Sabres,W,4,3
TOR,2015-03-13,Calgary Flames,L,3,6
TOR,2015-03-14,Vancouver Canucks,L,1,4
TOR,2015-03-16,Edmonton Oilers,L,1,4
TOR,2015-03-19,San Jose Sharks,L,1,4
TOR,2015-03-21,Ottawa Senators,L,3,5
TOR,2015-03-23,Minnesota Wild,L,1,2
TOR,2015-03-26,Florida Panthers,L,1,4
TOR,2015-03-28,Ottawa Senators,W,4,3
TOR,2015-03-31,Tampa Bay Lightning,W,3,1
TOR,2015-04-01,Buffalo Sabres,L,3,4
TOR,2015-04-04,Boston Bruins,L,1,2
TOR,2015-04-05,Ottawa Senators,W,3,2
TOR,2015-04-08,Columbus Blue Jackets,L,0,5
TOR,2015-04-11,Montreal Canadiens,L,3,4
TOR,2015-10-07,Montreal Canadiens,L,1,3
TOR,2015-10-09,Detroit Red Wings,L,0,4
TOR,2015-10-10,Ottawa Senators,L,4,5
TOR,2015-10-16,Columbus Blue Jackets,W,6,3
TOR,2015-10-17,Pittsburgh Penguins,L,1,2
TOR,2015-10-21,Buffalo Sabres,L,1,2
TOR,2015-10-24,Montreal Canadiens,L,3,5
