NHL Team,Date,Opponent,Result,Team Score,Opponent Score
ANA,2015-03-13,Minnesota Wild,W,2,1
ANA,2015-03-15,Nashville Predators,W,4,2
ANA,2015-03-18,Los Angeles Kings,W,3,2
ANA,2015-03-20,Colorado Avalanche,W,3,2
ANA,2015-03-22,New York Rangers,L,2,7
ANA,2015-03-24,Columbus Blue Jackets,L,3,5
ANA,2015-03-26,Boston Bruins,W,3,2
ANA,2015-03-28,New York Islanders,W,3,2
ANA,2015-03-29,New Jersey Devils,W,2,1
ANA,2015-04-01,Edmonton Oilers,W,5,1
ANA,2015-04-03,Colorado Avalanche,L,2,4
ANA,2015-04-08,Dallas Stars,L,0,4
ANA,2015-04-11,Arizona Coyotes,W,2,1
ANA,2015-10-10,San Jose Sharks,L,0,2
ANA,2015-10-12,Vancouver Canucks,L,1,2
ANA,2015-10-14,Arizona Coyotes,L,0,4
ANA,2015-10-16,Colorado Avalanche,L,0,3
ANA,2015-10-18,Minnesota Wild,W,4,1
ANA,2015-10-22,Nashville Predators,L,1,5
ANA,2015-10-24,Minnesota Wild,L,0,3
ANA,2015-10-26,Chicago Blackhawks,L,0,1
ANA,2015-10-27,Dallas Stars,L,3,4
ANA,2015-10-29,St. Louis Blues,L,1,2
ANA,2015-11-01,Nashville Predators,W,4,2
ANA,2015-11-04,Florida Panthers,W,3,2
ANA,2015-11-06,Columbus Blue Jackets,W,4,2
ANA,2015-11-07,San Jose Sharks,W,1,0
ANA,2015-11-09,Arizona Coyotes,L,3,4
ANA,2015-11-11,Edmonton Oilers,L,3,4
ANA,2015-11-13,New York Islanders,L,1,4
ANA,2015-11-16,Carolina Hurricanes,W,4,1
ANA,2015-11-17,Nashville Predators,L,2,3
ANA,2015-11-19,Florida Panthers,W,3,1
ANA,2015-11-21,Tampa Bay Lightning,L,0,5
ANA,2015-11-24,Calgary Flames,W,5,3
ANA,2015-11-25,Arizona Coyotes,L,2,4
ANA,2015-11-27,Chicago Blackhawks,L,2,3
ANA,2015-11-30,Vancouver Canucks,W,4,0
ANA,2015-12-02,Tampa Bay Lightning,L,1,2
ANA,2015-12-04,San Jose Sharks,W,1,0
ANA,2015-12-06,Pittsburgh Penguins,W,2,1
ANA,2015-12-11,Carolina Hurricanes,L,1,5
ANA,2015-12-17,Buffalo Sabres,L,0,3
ANA,2015-12-19,New Jersey Devils,W,2,1
ANA,2015-12-21,New York Islanders,L,2,5
ANA,2015-12-22,New York Rangers,L,2,3
ANA,2015-12-27,Philadelphia Flyers,W,4,2
ANA,2015-12-29,Calgary Flames,W,1,0
ANA,2015-12-31,Edmonton Oilers,W,1,0
ANA,2016-01-01,Vancouver Canucks,L,1,2
ANA,2016-01-03,Winnipeg Jets,W,4,1
ANA,2016-01-06,Toronto Maple Leafs,L,0,4
ANA,2016-01-08,St. Louis Blues,W,4,3
ANA,2016-01-10,Detroit Red Wings,L,1,2
ANA,2016-01-13,Ottawa Senators,W,4,1
ANA,2016-01-15,Dallas Stars,W,4,2
ANA,2016-01-17,Los Angeles Kings,L,2,3
ANA,2016-01-20,Minnesota Wild,W,3,1
ANA,2016-01-23,Detroit Red Wings,W,4,3
ANA,2016-01-26,Boston Bruins,W,6,2
ANA,2016-02-02,San Jose Sharks,W,3,2
ANA,2016-02-04,Los Angeles Kings,W,4,2
ANA,2016-02-05,Arizona Coyotes,W,5,2
ANA,2016-02-08,Pittsburgh Penguins,L,2,6
ANA,2016-02-09,Philadelphia Flyers,W,4,1
ANA,2016-02-11,Columbus Blue Jackets,L,3,4
ANA,2016-02-13,Chicago Blackhawks,W,3,2
ANA,2016-02-15,Calgary Flames,W,6,4
ANA,2016-02-16,Edmonton Oilers,W,5,3
ANA,2016-02-18,Vancouver Canucks,W,5,2
ANA,2016-02-21,Calgary Flames,W,5,2
ANA,2016-02-24,Buffalo Sabres,W,1,0
ANA,2016-02-26,Edmonton Oilers,W,2,1
ANA,2016-02-28,Los Angeles Kings,W,4,2
ANA,2016-03-02,Montreal Canadiens,W,3,2
ANA,2016-03-03,Arizona Coyotes,W,5,1
ANA,2016-03-05,Los Angeles Kings,W,3,2
ANA,2016-03-07,Washington Capitals,L,1,2
ANA,2016-03-09,Colorado Avalanche,L,0,3
ANA,2016-03-11,St. Louis Blues,L,2,5
ANA,2016-03-14,New Jersey Devils,W,7,1
ANA,2016-03-16,New York Rangers,L,1,2
ANA,2016-03-18,Boston Bruins,W,4,0
ANA,2016-03-20,Winnipeg Jets,W,3,2
ANA,2016-03-22,Montreal Canadiens,L,3,4
ANA,2016-03-24,Toronto Maple Leafs,L,5,6
