NHL Team,Date,Opponent,Result,Team Score,Opponent Score
SJS,2014-01-14,Washington Capitals,W,2,1
SJS,2014-01-16,Florida Panthers,W,3,0
SJS,2014-01-18,Tampa Bay Lightning,W,5,4
SJS,2014-01-20,Calgary Flames,W,3,2
SJS,2014-01-23,Winnipeg Jets,W,1,0
SJS,2014-01-25,Minnesota Wild,W,3,2
SJS,2014-01-27,Los Angeles Kings,L,0,1
SJS,2014-01-29,Edmonton Oilers,L,0,3
SJS,2014-01-30,Calgary Flames,L,1,4
SJS,2014-02-01,Chicago Blackhawks,W,2,1
SJS,2014-02-03,Philadelphia Flyers,L,2,5
SJS,2014-02-05,Dallas Stars,W,2,1
SJS,2014-02-07,Columbus Blue Jackets,W,3,2
SJS,2014-02-27,Philadelphia Flyers,W,7,3
SJS,2014-02-28,Buffalo Sabres,L,2,4
SJS,2014-03-02,New Jersey Devils,W,4,2
SJS,2014-03-04,Carolina Hurricanes,L,2,3
SJS,2014-03-06,Pittsburgh Penguins,W,5,3
SJS,2014-03-08,Montreal Canadiens,W,4,0
SJS,2014-03-11,Toronto Maple Leafs,W,6,2
SJS,2014-03-13,Columbus Blue Jackets,W,4,3
SJS,2014-03-14,New York Islanders,W,4,3
SJS,2014-03-16,New York Rangers,W,1,0
SJS,2014-03-18,Florida Panthers,L,2,3
SJS,2014-03-20,Anaheim Ducks,W,3,2
SJS,2014-03-22,Washington Capitals,L,2,3
SJS,2014-03-24,Calgary Flames,L,1,2
SJS,2014-03-25,Edmonton Oilers,W,5,2
SJS,2014-03-27,Winnipeg Jets,L,3,4
SJS,2014-03-29,Colorado Avalanche,L,2,3
SJS,2014-04-01,Edmonton Oilers,W,5,4
SJS,2014-04-03,Los Angeles Kings,W,2,1
SJS,2014-04-05,Nashville Predators,L,0,3
SJS,2014-04-09,Anaheim Ducks,L,2,5
SJS,2014-04-11,Colorado Avalanche,W,5,1
SJS,2014-04-12,Phoenix Coyotes,W,3,2
SJS,2014-10-08,Los Angeles Kings,W,4,0
SJS,2014-10-11,Winnipeg Jets,W,3,0
SJS,2014-10-14,Washington Capitals,W,6,5
SJS,2014-10-16,New York Islanders,L,3,4
SJS,2014-10-18,New Jersey Devils,W,4,2
SJS,2014-10-19,New York Rangers,L,0,4
SJS,2014-10-21,Boston Bruins,L,3,5
SJS,2014-10-23,Columbus Blue Jackets,L,4,5
SJS,2014-10-25,Buffalo Sabres,L,1,2
