NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
BOS,2014-01-21,7:30p,Miami Heat,L,86,93
BOS,2014-01-22,7:00p,Washington Wizards,W,113,111
BOS,2014-01-24,7:30p,Oklahoma City Thunder,L,83,101
BOS,2014-01-26,6:30p,Brooklyn Nets,L,79,85
BOS,2014-01-28,7:30p,New York Knicks,L,88,114
BOS,2014-01-29,7:30p,Philadelphia 76ers,L,94,95
BOS,2014-02-02,1:00p,Orlando Magic,W,96,89
BOS,2014-02-05,7:00p,Philadelphia 76ers,W,114,108
BOS,2014-02-07,7:30p,Sacramento Kings,W,99,89
BOS,2014-02-09,6:00p,Dallas Mavericks,L,91,102
BOS,2014-02-10,8:00p,Milwaukee Bucks,W,102,86
BOS,2014-02-12,7:30p,San Antonio Spurs,L,92,104
BOS,2014-02-19,9:00p,Phoenix Suns,L,94,100
BOS,2014-02-21,10:30p,Los Angeles Lakers,L,92,101
BOS,2014-02-22,10:00p,Sacramento Kings,L,98,105
BOS,2014-02-24,9:00p,Utah Jazz,L,98,110
BOS,2014-02-26,7:30p,Atlanta Hawks,W,115,104
BOS,2014-03-01,8:00p,Indiana Pacers,L,97,102
BOS,2014-03-05,7:30p,Golden State Warriors,L,88,108
BOS,2014-03-07,7:30p,Brooklyn Nets,W,91,84
BOS,2014-03-09,6:00p,Detroit Pistons,W,118,111
BOS,2014-03-11,7:00p,Indiana Pacers,L,83,94
BOS,2014-03-12,7:30p,New York Knicks,L,92,116
BOS,2014-03-14,7:30p,Phoenix Suns,L,80,87
BOS,2014-03-16,6:00p,New Orleans Pelicans,L,120,121
BOS,2014-03-17,8:30p,Dallas Mavericks,L,89,94
BOS,2014-03-19,7:30p,Miami Heat,W,101,96
BOS,2014-03-21,7:30p,Brooklyn Nets,L,98,114
BOS,2014-03-26,7:30p,Toronto Raptors,L,90,99
BOS,2014-03-28,7:00p,Toronto Raptors,L,103,105
BOS,2014-03-30,7:00p,Chicago Bulls,L,102,107
BOS,2014-03-31,8:00p,Chicago Bulls,L,80,94
BOS,2014-04-02,7:00p,Washington Wizards,L,92,118
BOS,2014-04-04,7:30p,Philadelphia 76ers,L,102,111
BOS,2014-04-05,7:30p,Detroit Pistons,L,111,115
BOS,2014-04-09,7:30p,Atlanta Hawks,L,97,105
BOS,2014-04-11,7:30p,Charlotte Bobcats,W,106,103
BOS,2014-04-12,7:30p,Cleveland Cavaliers,W,111,99
BOS,2014-04-14,7:00p,Philadelphia 76ers,L,108,113
BOS,2014-04-16,8:00p,Washington Wizards,L,102,118
BOS,2014-10-29,7:30p,Brooklyn Nets,W,121,105
BOS,2014-11-01,8:00p,Houston Rockets,L,90,104
BOS,2014-11-03,8:30p,Dallas Mavericks,L,113,118
BOS,2014-11-05,7:30p,Toronto Raptors,L,107,110
BOS,2014-11-07,7:30p,Indiana Pacers,W,101,98
BOS,2014-11-08,8:00p,Chicago Bulls,W,106,101
BOS,2014-11-12,7:30p,Oklahoma City Thunder,L,94,109
BOS,2014-11-14,7:30p,Cleveland Cavaliers,L,121,122
BOS,2014-11-17,7:30p,Phoenix Suns,L,114,118
BOS,2014-11-19,7:00p,Philadelphia 76ers,W,101,90
BOS,2014-11-21,8:00p,Memphis Grizzlies,L,100,117
