NHL Team,Date,Opponent,Result,Team Score,Opponent Score
FLA,2015-03-24,Tampa Bay Lightning,L,3,4
FLA,2015-03-26,Toronto Maple Leafs,W,4,1
FLA,2015-03-28,Montreal Canadiens,L,2,3
FLA,2015-03-29,Ottawa Senators,W,4,2
FLA,2015-03-31,Boston Bruins,L,2,3
FLA,2015-04-02,Carolina Hurricanes,W,6,1
FLA,2015-04-04,Tampa Bay Lightning,L,0,4
FLA,2015-04-05,Montreal Canadiens,L,1,4
FLA,2015-04-09,Boston Bruins,W,4,2
FLA,2015-04-11,New Jersey Devils,W,3,2
FLA,2015-10-10,Philadelphia Flyers,W,7,1
FLA,2015-10-12,Philadelphia Flyers,L,0,1
FLA,2015-10-13,Carolina Hurricanes,W,4,1
FLA,2015-10-15,Buffalo Sabres,W,3,2
FLA,2015-10-17,Dallas Stars,L,2,4
FLA,2015-10-20,Pittsburgh Penguins,L,2,3
FLA,2015-10-22,Chicago Blackhawks,L,2,3
FLA,2015-10-24,Dallas Stars,W,6,2
FLA,2015-10-27,Colorado Avalanche,W,4,1
FLA,2015-10-30,Boston Bruins,L,1,3
FLA,2015-10-31,Washington Capitals,L,1,2
FLA,2015-11-04,Anaheim Ducks,L,2,3
FLA,2015-11-05,San Jose Sharks,L,2,5
FLA,2015-11-07,Los Angeles Kings,L,1,4
FLA,2015-11-10,Calgary Flames,W,4,3
FLA,2015-11-12,Buffalo Sabres,L,2,3
FLA,2015-11-14,Tampa Bay Lightning,W,5,4
FLA,2015-11-16,Tampa Bay Lightning,W,1,0
FLA,2015-11-19,Anaheim Ducks,L,1,3
FLA,2015-11-21,New York Rangers,L,4,5
FLA,2015-11-23,Los Angeles Kings,L,1,3
FLA,2015-11-27,New York Islanders,W,3,2
FLA,2015-11-29,Detroit Red Wings,W,2,1
FLA,2015-12-01,St. Louis Blues,W,3,1
FLA,2015-12-03,Nashville Predators,W,2,1
FLA,2015-12-04,Columbus Blue Jackets,W,2,1
FLA,2015-12-06,New Jersey Devils,L,2,4
FLA,2015-12-08,Ottawa Senators,L,2,4
FLA,2015-12-10,Washington Capitals,W,4,1
FLA,2015-12-12,Boston Bruins,L,1,3
FLA,2015-12-15,New York Islanders,W,5,1
FLA,2015-12-17,New Jersey Devils,W,5,1
FLA,2015-12-18,Carolina Hurricanes,W,2,0
FLA,2015-12-20,Vancouver Canucks,W,5,4
FLA,2015-12-22,Ottawa Senators,W,2,1
FLA,2015-12-27,Columbus Blue Jackets,W,3,2
FLA,2015-12-29,Montreal Canadiens,W,3,1
FLA,2016-01-02,New York Rangers,W,3,0
FLA,2016-01-03,Minnesota Wild,W,2,1
FLA,2016-01-05,Buffalo Sabres,W,5,1
FLA,2016-01-07,Ottawa Senators,W,3,2
FLA,2016-01-10,Edmonton Oilers,W,2,1
FLA,2016-01-11,Vancouver Canucks,L,2,3
FLA,2016-01-13,Calgary Flames,L,0,6
FLA,2016-01-17,Tampa Bay Lightning,L,1,3
FLA,2016-01-18,Edmonton Oilers,L,2,4
FLA,2016-01-22,Chicago Blackhawks,W,4,0
FLA,2016-01-23,Tampa Bay Lightning,W,5,2
FLA,2016-01-26,Toronto Maple Leafs,W,5,1
FLA,2016-02-02,Washington Capitals,W,5,2
